gene_id,sigma_hat,median_tpm,n_pairs
ENSG00000074800,0.207898157020838,675.227,400
ENSG00000175756,0.21996766497716144,73.7294,400
ENSG00000244038,0.23828947083875446,166.079,400
ENSG00000134686,0.23870276627522674,145.282,400
ENSG00000120942,0.24476980789666228,7.598389999999999,400
ENSG00000117751,0.249928108127703,26.9314,400
ENSG00000142676,0.25140581449186,711.6239999999999,400
ENSG00000116649,0.2582476418972861,61.2166,400
ENSG00000053372,0.25913583708344345,18.0854,400
ENSG00000117682,0.26341721798389073,17.0461,400
ENSG00000162511,0.2657562152889447,301.517,400
ENSG00000134684,0.26675818516752126,34.5684,400
ENSG00000117305,0.26734577633291795,19.204,400
ENSG00000117308,0.2686531224438022,17.5386,400
ENSG00000117118,0.2698817953077161,81.1531,400
ENSG00000116786,0.2702001296338052,106.789,400
ENSG00000125944,0.2708909308166755,38.0958,400
ENSG00000084623,0.271084670888876,192.887,400
ENSG00000078369,0.2743764152755053,248.57,400
ENSG00000116288,0.27458906970777075,164.313,400
ENSG00000060688,0.27677199548355724,15.5595,400
ENSG00000182866,0.27784536756481565,13.784,400
ENSG00000175707,0.28014171246146774,7.25784,400
ENSG00000065526,0.2841158156029796,32.8227,400
ENSG00000176022,0.2867982123929122,15.0709,400
ENSG00000048707,0.2888459991316036,16.0945,400
ENSG00000184007,0.2888842370059161,102.70100000000001,400
ENSG00000169504,0.2900562220362867,233.49599999999998,400
ENSG00000116251,0.29088263787097457,170.636,400
ENSG00000127481,0.2927422979266051,36.4026,400
ENSG00000157916,0.2966957262509143,64.2008,400
ENSG00000127483,0.29823396711088157,89.6136,400
ENSG00000142609,0.29883338005345317,1.46181,400
ENSG00000271895,0.30084443059363725,21.5045,400
ENSG00000162522,0.30707546967562044,36.0045,400
ENSG00000162526,0.30739710010051724,11.0945,400
ENSG00000116670,0.30751518838430086,26.2829,400
ENSG00000176261,0.3076018011228431,16.0211,400
ENSG00000198793,0.3082087974096278,15.2756,400
ENSG00000142669,0.3096371166119173,232.025,400
ENSG00000116685,0.30991112305985064,42.8928,400
ENSG00000117758,0.3101949344606461,84.2562,400
ENSG00000007923,0.3145690736144928,18.1061,400
ENSG00000116353,0.3148744182177008,8.4004,400
ENSG00000130772,0.31493484993106874,8.20364,400
ENSG00000009724,0.3152097407101264,3.6771599999999998,400
ENSG00000025800,0.31560404236563544,33.6744,400
ENSG00000160094,0.3157910221224303,26.2072,400
ENSG00000130764,0.3157999578306552,28.9532,400
ENSG00000242485,0.31587355150716534,71.6695,400
ENSG00000169403,0.3159146345947119,13.3569,400
ENSG00000162441,0.31596869611158074,11.882,400
ENSG00000157873,0.3161239803382637,164.57299999999998,400
ENSG00000067606,0.3166562149737944,21.1824,400
ENSG00000188976,0.3171288376736174,55.2098,400
ENSG00000107404,0.3185312540233358,72.1086,400
ENSG00000084652,0.31855448742702575,50.0748,400
ENSG00000157330,0.3203242166247617,0.274019,400
ENSG00000116809,0.32039243814741636,31.7965,400
ENSG00000189266,0.32056006600837095,105.12,400
ENSG00000186501,0.32160243814712125,36.5743,400
ENSG00000080947,0.3230916256799278,4.74501,400
ENSG00000197530,0.32326244661292014,39.626,400
ENSG00000004455,0.3241615151837893,44.7906,400
ENSG00000040487,0.3242310578349741,16.718,400
ENSG00000116237,0.3243536518725253,32.6315,400
ENSG00000221978,0.3252343125745322,202.22400000000002,400
ENSG00000198746,0.32653300132335633,13.6927,400
ENSG00000070831,0.32763666786961443,134.605,400
ENSG00000011009,0.32921580875301437,58.236000000000004,400
ENSG00000142634,0.3293022239975774,117.546,400
ENSG00000171608,0.33082526037201665,23.9939,400
ENSG00000225828,0.33314008609147067,13.2742,400
ENSG00000220785,0.3334916274664382,35.4285,400
ENSG00000197785,0.3336929743820282,18.3178,400
ENSG00000159189,0.33533053761513243,299.346,400
ENSG00000162576,0.33569437728385637,118.624,400
ENSG00000090273,0.3363956192282334,86.4057,400
