tissue,region,gene_id,gwas,nsnp,H0,H1,H2,H3,H4,eqtl_top_p,gwas_max_absz,gwas_top_p,max_log_post,gene,gene_type
Lung,5p15.33 TERT/CLPTM1L,ENSG00000028310,LUAD,2067,1.0276286160648687e-28,1.732659964238137e-29,0.8385080484661837,0.1413586978294821,0.0201332537043341,0.000454261,12.369718897856943,5.9471990201220945e-34,64.26899767137571,BRD9,protein_coding
Lung,5p15.33 TERT/CLPTM1L,ENSG00000028310,LUSC,2135,1.8956578804824576e-15,3.286013851646283e-16,0.8319509613055897,0.1441900527587735,0.0238589859356345,0.000454261,9.378100582096597,7.983018482717922e-20,33.71522866950665,BRD9,protein_coding
Lung,5p15.33 TERT/CLPTM1L,ENSG00000028310,SCLC,1829,0.7227601368147436,0.1107429465265576,0.1377133514464278,0.0210930613755296,0.0076905038367412,0.000454261,3.369387996219282,0.0034259114203628,0.0,BRD9,protein_coding
Lung,5p15.33 TERT/CLPTM1L,ENSG00000028310,PRAD,2250,7.975639826874224e-46,1.4459518032798075e-46,0.8278033730999856,0.1500553203237528,0.0221413065762615,0.000454261,15.219047619047618,5.063887795333787e-51,103.65354277829891,BRD9,protein_coding
Lung,5p15.33 TERT/CLPTM1L,ENSG00000049656,LUAD,2067,1.0689045392532046e-28,1.337990702300904e-29,0.8721877195654818,0.1091565808706683,0.0186556995638498,0.00138154,12.369718897856943,5.9471990201220945e-34,64.26899767137571,CLPTM1L,protein_coding
Lung,5p15.33 TERT/CLPTM1L,ENSG00000049656,LUSC,2135,1.9084674845475174e-15,2.5245042026897713e-16,0.837572736482215,0.110741708119267,0.0516855553985158,0.000529446,9.378100582096597,7.983018482717922e-20,33.71522866950665,CLPTM1L,protein_coding
Lung,5p15.33 TERT/CLPTM1L,ENSG00000049656,SCLC,1829,0.7420693812318734,0.0874351931007404,0.1413924984097622,0.0166472809148545,0.0124556463427692,0.000529446,3.369387996219282,0.0034259114203628,0.0,CLPTM1L,protein_coding
Lung,5p15.33 TERT/CLPTM1L,ENSG00000049656,PRAD,2250,6.591988731958882e-46,9.71095255554485e-47,0.6841921935047174,0.1005761713869681,0.2152316351083143,0.000529446,15.219047619047618,5.063887795333787e-51,103.65354277829891,CLPTM1L,protein_coding
Lung,5p15.33 TERT/CLPTM1L,ENSG00000063438,LUAD,937,1.1344600861577843e-28,6.060103645349023e-30,0.9256786917332628,0.0494233716203182,0.024897936646419,0.0116575,12.369718897856943,5.9471990201220945e-34,64.26899767137535,AHRR,protein_coding
Lung,5p15.33 TERT/CLPTM1L,ENSG00000063438,LUSC,997,0.0002196019590231,1.2501853574504268e-05,0.8944366964225868,0.050865465308405,0.0544657344564107,0.0116575,6.304073456943312,2.345725560906974e-09,8.312132779170076,AHRR,protein_coding
