gene,dsi_class,mean_DSI,n_loci,n_drugs,max_stage,n_cancer_indications,approved_drug_SM,approved_drug_AB,advanced_clinical_SM,druggable_family_SM,struct_with_ligand_SM
KLK3,mixed,-0.3333333333333333,1,1.0,4.0,1.0,False,False,False,True,True
POU5F1B,mixed,-0.6,5,0.0,0.0,0.0,False,False,False,False,False
NKX3-1,mixed,-0.3333333333333333,9,0.0,0.0,0.0,False,False,False,False,False
PRKCI,risky,-1.0,1,5.0,4.0,34.0,True,False,False,True,True
BIK,risky,-1.0,1,0.0,0.0,0.0,False,False,False,False,False
KRT8,risky,-1.0,1,0.0,0.0,0.0,False,False,False,False,False
KRT18,risky,-1.0,1,0.0,0.0,0.0,False,False,False,False,False
HNF1B,risky,-1.0,2,0.0,0.0,0.0,False,False,False,False,False
KRT78,risky,-1.0,1,0.0,0.0,0.0,False,False,False,False,False
SLC22A2,risky,-1.0,1,0.0,0.0,0.0,False,False,False,True,True
LMTK2,risky,-1.0,7,0.0,0.0,0.0,False,False,False,True,False
WDPCP,risky,-1.0,3,0.0,0.0,0.0,False,False,False,False,False
TPCN2,risky,-1.0,1,0.0,0.0,0.0,False,False,False,True,True
MAP2K1,safe,1.0,4,19.0,4.0,107.0,True,False,False,True,True
TYMS,safe,1.0,2,11.0,4.0,220.0,True,False,False,True,True
CHRNB4,safe,1.0,9,8.0,4.0,0.0,True,False,False,True,True
CHRNA3,safe,1.0,7,8.0,4.0,0.0,True,False,False,True,True
PSMA4,safe,1.0,2,7.0,4.0,122.0,True,False,False,True,True
YES1,safe,1.0,1,6.0,4.0,70.0,True,False,False,True,False
TERT,safe,1.0,1,2.0,4.0,12.0,False,False,False,True,False
CHRNA5,safe,1.0,3,1.0,2.0,0.0,False,False,True,True,False
DCAF4,safe,1.0,6,0.0,0.0,0.0,False,False,False,False,False
DIS3L,safe,1.0,1,0.0,0.0,0.0,False,False,False,False,False
CDSN,safe,1.0,2,0.0,0.0,0.0,False,False,False,False,False
DPF3,safe,1.0,6,0.0,0.0,0.0,False,False,False,False,False
FOXE1,safe,1.0,5,0.0,0.0,0.0,False,False,False,False,False
CLPTM1L,safe,1.0,6,0.0,0.0,0.0,False,False,False,False,False
LIME1,safe,1.0,3,0.0,0.0,0.0,False,False,False,False,False
IREB2,safe,1.0,6,0.0,0.0,0.0,False,False,False,False,True
ITPR2,safe,1.0,2,0.0,0.0,0.0,False,False,False,True,False
KNL1,safe,1.0,5,0.0,0.0,0.0,False,False,False,False,False
GDF7,safe,1.0,1,0.0,0.0,0.0,False,False,False,False,False
HAUS6,safe,1.0,1,0.0,0.0,0.0,False,False,False,False,False
HLA-DQA1,safe,1.0,2,0.0,0.0,0.0,False,False,False,False,True
HYKK,safe,1.0,3,0.0,0.0,0.0,False,False,False,False,False
FAF1,safe,1.0,2,0.0,0.0,0.0,False,False,False,False,True
LRRIQ4,safe,1.0,2,0.0,0.0,0.0,False,False,False,False,False
LRRC31,safe,1.0,4,0.0,0.0,0.0,False,False,False,False,False
LRRC34,safe,1.0,1,0.0,0.0,0.0,False,False,False,False,True
MSH5,safe,1.0,3,0.0,0.0,0.0,False,False,False,False,False
MORF4L1,safe,1.0,2,0.0,0.0,0.0,False,False,False,False,False
PMF1-BGLAP,safe,1.0,2,0.0,0.0,0.0,False,False,False,False,False
PMF1,safe,1.0,2,0.0,0.0,0.0,False,False,False,False,False
RTEL1-TNFRSF6B,safe,1.0,1,0.0,0.0,0.0,False,False,False,False,False
RTEL1,safe,1.0,2,0.0,0.0,0.0,False,False,False,False,False
C6orf15,safe,1.0,1,0.0,0.0,0.0,False,False,False,False,False
ADAMTS7,safe,1.0,15,0.0,0.0,0.0,False,False,False,False,False
ARFRP1,safe,1.0,2,0.0,0.0,0.0,False,False,False,False,False
SLC25A44,safe,1.0,1,0.0,0.0,0.0,False,False,False,False,False
SLC22A3,safe,1.0,3,0.0,0.0,0.0,False,False,False,True,True
SH3PXD2A,safe,1.0,1,0.0,0.0,0.0,False,False,False,False,False
SLC2A4RG,safe,1.0,1,0.0,0.0,0.0,False,False,False,False,False
SNAPC5,safe,1.0,1,0.0,0.0,0.0,False,False,False,False,False
TRMO,safe,1.0,5,0.0,0.0,0.0,False,False,False,False,False
ZFYVE1,safe,1.0,1,0.0,0.0,0.0,False,False,False,False,False
ZWILCH,safe,1.0,1,0.0,0.0,0.0,False,False,False,False,False
