outcome,delta_direct_effect_SD,IREB2_theta,IREB2_p
own:LUAD,0.0,-1.8184287969410438,1.3095498764154044e-24
own:LUAD,0.005,-1.836732480536705,6.872343559815899e-26
own:LUAD,0.01,-1.7379626733843023,1.4098900957391268e-25
own:LUAD,0.015,-1.5664129910907627,4.1559377160937245e-24
own:LUAD,0.02,-1.3702243163090817,4.500507337129921e-22
own:LUAD,0.025,-1.1813826598079062,6.315803523819953e-20
own:LUAD,0.03,-1.0145248737000414,6.493092051228213e-18
own:LUAD,0.04,-0.7559662793799358,1.3183463785465328e-14
own:LUAD,0.05,-0.579368691366614,3.2919508318165955e-12
own:LUAD,0.075,-0.3386322940264471,1.0409868131237516e-08
own:LUAD,0.1,-0.22707324021229194,5.950949083865384e-07
own:LUAD,0.15,-0.12954628173746352,2.7299807460058652e-05
own:LUAD,0.2,-0.08799460873758268,0.00016042160734987035
own:LUAD,0.5,-0.02807153792391591,0.0028001232796385583
own:LUAD,1.0,-0.012789327708923489,0.006513317364107018
own:LUSC,0.0,-2.3481801092466994,1.4666647566201942e-29
own:LUSC,0.005,-2.3099741459961183,1.7856903172560998e-29
own:LUSC,0.01,-2.1471396251020667,7.414007335842874e-28
own:LUSC,0.015,-1.9107480566574147,2.8257666832982634e-25
own:LUSC,0.02,-1.6533958574500986,2.3623230504744477e-22
own:LUSC,0.025,-1.4100038499475638,1.6011870746737228e-19
own:LUSC,0.03,-1.1965924533115242,5.3910165474783915e-17
own:LUSC,0.04,-0.8682592536281307,5.026255420424872e-13
own:LUSC,0.05,-0.6464792111191875,2.8065764776837007e-10
own:LUSC,0.075,-0.35139200130696585,1.6922421173408938e-06
own:LUSC,0.1,-0.22060778248591456,9.717355027927915e-05
own:LUSC,0.15,-0.11301162225146959,0.003351611748050335
own:LUSC,0.2,-0.07069343636370241,0.015156124880005468
own:LUSC,0.5,-0.017517546263976377,0.13557278021422364
own:LUSC,1.0,-0.0069044575832040034,0.2399110583028744
own:SCLC,0.0,-2.580565372257759,9.58218348417282e-15
own:SCLC,0.005,-2.492115098174721,2.659327892004521e-14
own:SCLC,0.01,-2.2532387873960893,4.3963078120399324e-13
own:SCLC,0.015,-1.9415151047382109,1.745510171497411e-11
own:SCLC,0.02,-1.626112543938048,7.3732728776611e-10
own:SCLC,0.025,-1.3450958823644263,2.108681334170421e-08
own:SCLC,0.03,-1.1105860891070392,3.522088692972002e-07
own:SCLC,0.04,-0.7694471392976636,2.2076772751065102e-05
own:SCLC,0.05,-0.5518650242591683,0.0003230429825074031
own:SCLC,0.075,-0.27896574998757206,0.010409242733631176
own:SCLC,0.1,-0.16521152286231092,0.048206466594049764
own:SCLC,0.15,-0.07667213656315648,0.17662672838193827
own:SCLC,0.2,-0.04402206390201298,0.3039801112299081
own:SCLC,0.5,-0.007479087300228612,0.6645509068433626
own:SCLC,1.0,-0.00201483423978132,0.8154353483584874
fg:FinnGen lung cancer,0.0,-2.0878409534285605,2.6658734329539686e-31
fg:FinnGen lung cancer,0.005,-2.077396587635523,6.731445990618875e-32
fg:FinnGen lung cancer,0.01,-1.9521416581988702,8.89505976110719e-31
fg:FinnGen lung cancer,0.015,-1.7555795150915325,1.7767424833987133e-28
fg:FinnGen lung cancer,0.02,-1.534659157800746,1.1863400679895136e-25
fg:FinnGen lung cancer,0.025,-1.3217181348384817,8.568983387390724e-23
fg:FinnGen lung cancer,0.03,-1.1324528903889155,3.6349420642070063e-20
fg:FinnGen lung cancer,0.04,-0.8368794653394465,6.517451083618317e-16
fg:FinnGen lung cancer,0.05,-0.6339183955229614,7.06886407335741e-13
fg:FinnGen lung cancer,0.075,-0.35814494447723066,1.5026158964091685e-08
fg:FinnGen lung cancer,0.1,-0.23248441030704792,1.8808684052142317e-06
fg:FinnGen lung cancer,0.15,-0.1258003747777836,0.0001513319331051124
fg:FinnGen lung cancer,0.2,-0.08215493875564285,0.0010577004196161194
fg:FinnGen lung cancer,0.5,-0.023439200847255356,0.020505849500144255
fg:FinnGen lung cancer,1.0,-0.01008266313987816,0.046469531515858586
fg:FinnGen COPD,0.0,-1.3478648011579917,5.0999278365034605e-36
fg:FinnGen COPD,0.005,-1.2820989735202184,1.1224863501084963e-33
fg:FinnGen COPD,0.01,-1.1532765270244631,7.351942299360802e-30
fg:FinnGen COPD,0.015,-0.9935456886944181,1.9600252698914736e-25
fg:FinnGen COPD,0.02,-0.8321733281531096,3.951739369369385e-21
fg:FinnGen COPD,0.025,-0.6866054629647418,2.3902660297845078e-17
fg:FinnGen COPD,0.03,-0.5633891443197135,3.2691542475626786e-14
fg:FinnGen COPD,0.04,-0.38137951432765255,1.0942650241275288e-09
fg:FinnGen COPD,0.05,-0.26418501465767946,7.533738556248471e-07
fg:FinnGen COPD,0.075,-0.11843144177632271,0.0019896500309197177
fg:FinnGen COPD,0.1,-0.060084029051542094,0.042050472560762914
fg:FinnGen COPD,0.15,-0.018201415283307626,0.36576415849251775
fg:FinnGen COPD,0.2,-0.004878994600597029,0.7483573795560812
fg:FinnGen COPD,0.5,0.0045898744006362385,0.45428487933960593
fg:FinnGen COPD,1.0,0.0033983887138954697,0.2683751782006911
