rho,N_ratio,both_sig,opposite,false_opp,frac_false,borrow,omega12
-0.5,0.05,62.1,62.1,0.0,0.0,0.12418890235932387,-9.992049567109761e-05
-0.5,0.2,2359.4,2356.9,0.0,0.0,0.056571445371379814,-9.985504851469657e-05
-0.5,1.0,17686.9,17241.3,0.0,0.0,0.022474569125238784,-9.997119009352688e-05
-0.3,0.05,24.35,24.35,0.0,0.0,0.06744360684826847,-6.026410549348166e-05
-0.3,0.2,1286.2,1246.3,0.0,0.0,0.031973471332717836,-6.0107148944047816e-05
-0.3,1.0,13290.25,11567.5,0.0,0.0,0.012197271360012737,-6.012181592406127e-05
-0.1,0.05,6.45,5.7,0.0,0.0,0.019421292322147073,-2.009478070965761e-05
-0.1,0.2,751.15,557.85,0.0,0.0,0.010292571429055698,-2.0030857120375556e-05
-0.1,1.0,11241.15,7262.95,0.0,0.0,0.0035136673658247297,-2.0053800112234716e-05
0.0,0.05,5.3,2.45,0.0,0.0,6.837982867196875e-05,3.250654587343699e-07
0.0,0.2,683.0,342.2,0.0,0.0,4.31692197754685e-05,6.457878787482121e-08
0.0,1.0,10949.85,5474.2,0.0,0.0,3.285809209667701e-05,-9.436205363096086e-10
0.1,0.05,6.75,1.25,0.0,0.0,0.02070342832921499,2.009176974200252e-05
0.1,0.2,742.3,187.6,0.0,0.0,0.010286954197980253,2.0037975754409402e-05
0.1,1.0,11261.7,3990.0,0.0,0.0,0.00353154998347035,2.019491425282451e-05
0.3,0.05,23.45,0.0,0.0,,0.06371895251729658,5.991783283214879e-05
0.3,0.2,1263.9,36.6,0.0,0.0,0.03210212205541195,6.006516896803277e-05
0.3,1.0,13284.7,1733.25,0.0,0.0,0.012175570737405366,6.001048332661993e-05
0.5,0.05,63.2,0.0,0.0,,0.1330355612576752,0.00010001957447503935
0.5,0.2,2364.6,2.65,0.0,0.0,0.056460702906942974,9.975748662679202e-05
0.5,1.0,17687.3,451.4,0.0,0.0,0.022445601779843907,9.992285920491801e-05
