"gene","p1","p12","prior_ratio","idx1","idx2","hit1","hit2","PP.H3.abf","PP.H4.abf","n_snp"
"CHRNA5",1e-06,1e-08,10000,1,1,"rs77434238","rs4887067",0.999999496314614,5.03569848304544e-07,378
"CHRNA5",1e-06,1e-08,10000,1,2,"rs77434238","rs28498264",0.525780621762083,0.00455918227042474,378
"CHRNA5",1e-06,1e-07,1e+05,1,1,"rs77434238","rs4887067",0.999994964208813,5.03567566071566e-06,378
"CHRNA5",1e-06,1e-07,1e+05,1,2,"rs77434238","rs28498264",0.505056807385961,0.0437948061698126,378
"CHRNA5",1e-06,1e-06,1e+06,1,1,"rs77434238","rs4887067",0.999949645409983,5.03544744879421e-05,378
"CHRNA5",1e-06,1e-06,1e+06,1,2,"rs77434238","rs28498264",0.362267781811814,0.314131936328741,378
"CHRNA5",1e-06,1e-05,1e+07,1,1,"rs77434238","rs4887067",0.999496683237853,0.000503316646672227,378
"CHRNA5",1e-06,1e-05,1e+07,1,2,"rs77434238","rs28498264",0.0946563994383982,0.82079057355801,378
"CHRNA5",1e-06,1e-04,1e+08,1,1,"rs77434238","rs4887067",0.994989530094008,0.00501046979104092,378
"CHRNA5",1e-06,1e-04,1e+08,1,2,"rs77434238","rs28498264",0.011285930574438,0.978632769077326,378
"CHRNA5",1e-05,1e-08,100,1,1,"rs77434238","rs4887067",0.999999994952745,5.035700994038e-09,378
"CHRNA5",1e-05,1e-08,100,1,2,"rs77434238","rs28498264",0.917925543169734,7.95957418126979e-05,378
"CHRNA5",1e-05,1e-07,1000,1,1,"rs77434238","rs4887067",0.999999949631446,5.03570076581351e-08,378
"CHRNA5",1e-05,1e-07,1000,1,2,"rs77434238","rs28498264",0.91726844720726,0.000795387632908948,378
"CHRNA5",1e-05,1e-06,10000,1,1,"rs77434238","rs4887067",0.999999496418595,5.03569848356912e-07,378
"CHRNA5",1e-05,1e-06,10000,1,2,"rs77434238","rs28498264",0.910748861775182,0.00789734328644362,378
"CHRNA5",1e-05,1e-05,1e+05,1,1,"rs77434238","rs4887067",0.999994964312779,5.03567566123927e-06,378
"CHRNA5",1e-05,1e-05,1e+05,1,2,"rs77434238","rs28498264",0.850312009237385,0.0737327941804321,378
"CHRNA5",1e-05,1e-04,1e+06,1,1,"rs77434238","rs4887067",0.999949645513959,5.0354474493178e-05,378
"CHRNA5",1e-05,1e-04,1e+06,1,2,"rs77434238","rs28498264",0.511129171332269,0.443213568431866,378
"CHRNA5",1e-04,1e-08,1,1,1,"rs77434238","rs4887067",0.999999999948486,5.03570101919501e-11,378
"CHRNA5",1e-04,1e-08,1,1,2,"rs77434238","rs28498264",0.991145606954551,8.59448464169779e-07,378
"CHRNA5",1e-04,1e-07,10,1,1,"rs77434238","rs4887067",0.999999999495273,5.03570101691279e-10,378
"CHRNA5",1e-04,1e-07,10,1,2,"rs77434238","rs28498264",0.991137940466723,8.59441816356237e-06,378
"CHRNA5",1e-04,1e-06,100,1,1,"rs77434238","rs4887067",0.999999994963147,5.03570099409039e-09,378
"CHRNA5",1e-04,1e-06,100,1,2,"rs77434238","rs28498264",0.991061282110969,8.59375343876658e-05,378
"CHRNA5",1e-04,1e-05,1000,1,1,"rs77434238","rs4887067",0.999999949641834,5.03570076586583e-08,378
"CHRNA5",1e-04,1e-05,1000,1,2,"rs77434238","rs28498264",0.990295350244529,0.00085871118417938,378
"CHRNA5",1e-04,1e-04,10000,1,1,"rs77434238","rs4887067",0.999999496428997,5.03569848362143e-07,378
"CHRNA5",1e-04,1e-04,10000,1,2,"rs77434238","rs28498264",0.982700645926312,0.00852125616008254,378
"CHRNA5",0.001,1e-08,0.01,1,1,"rs77434238","rs4887067",0.999999999999375,5.0357010194513e-13,378
"CHRNA5",0.001,1e-08,0.01,1,2,"rs77434238","rs28498264",0.999107525891905,8.66352453810194e-09,378
"CHRNA5",0.001,1e-07,0.1,1,1,"rs77434238","rs4887067",0.999999999994856,5.03570101942857e-12,378
"CHRNA5",0.001,1e-07,0.1,1,2,"rs77434238","rs28498264",0.999107447989776,8.66352386259207e-08,378
"CHRNA5",0.001,1e-06,1,1,1,"rs77434238","rs4887067",0.999999999949523,5.03570101920031e-11,378
"CHRNA5",0.001,1e-06,1,1,2,"rs77434238","rs28498264",0.999106668969175,8.66351710749924e-07,378
"CHRNA5",0.001,1e-05,10,1,1,"rs77434238","rs4887067",0.99999999949631,5.03570101691809e-10,378
"CHRNA5",0.001,1e-05,10,1,2,"rs77434238","rs28498264",0.99909887882997,8.66344955715013e-06,378
"CHRNA5",0.001,1e-04,100,1,1,"rs77434238","rs4887067",0.999999994964185,5.03570099409561e-09,378
"CHRNA5",0.001,1e-04,100,1,2,"rs77434238","rs28498264",0.999020984118842,8.66277411159125e-05,378
"CHRNA5",0.01,1e-08,1e-04,1,1,"rs77434238","rs4887067",0.999999999999986,5.0357010194544e-15,378
"CHRNA5",0.01,1e-08,1e-04,1,2,"rs77434238","rs28498264",0.999910681625936,8.67048891303592e-11,378
"CHRNA5",0.01,1e-07,0.001,1,1,"rs77434238","rs4887067",0.999999999999943,5.03570101945421e-14,378
"CHRNA5",0.01,1e-07,0.001,1,2,"rs77434238","rs28498264",0.999910680845659,8.67048890626995e-10,378
"CHRNA5",0.01,1e-06,0.01,1,1,"rs77434238","rs4887067",0.999999999999488,5.03570101945194e-13,378
"CHRNA5",0.01,1e-06,0.01,1,2,"rs77434238","rs28498264",0.99991067304292,8.67048883861035e-09,378
"CHRNA5",0.01,1e-05,0.1,1,1,"rs77434238","rs4887067",0.999999999994955,5.03570101942914e-12,378
"CHRNA5",0.01,1e-05,0.1,1,2,"rs77434238","rs28498264",0.999910595015497,8.67048816201399e-08,378
"CHRNA5",0.01,1e-04,1,1,1,"rs77434238","rs4887067",0.999999999949637,5.03570101920088e-11,378
"CHRNA5",0.01,1e-04,1,1,2,"rs77434238","rs28498264",0.999909814741935,8.67048139605644e-07,378
"IREB2",1e-06,1e-08,10000,1,1,"rs7359276","rs4887067",0.326881568725154,0.0635586605895846,378
"IREB2",1e-06,1e-08,10000,1,2,"rs7359276","rs28498264",0.00378824325261569,0.979020631276852,378
"IREB2",1e-06,1e-07,1e+05,1,1,"rs7359276","rs4887067",0.207936232750285,0.404309991939757,378
"IREB2",1e-06,1e-07,1e+05,1,2,"rs7359276","rs28498264",0.000386114724111482,0.997861688749534,378
"IREB2",1e-06,1e-06,1e+06,1,1,"rs7359276","rs4887067",0.0448255333830646,0.871585043216928,378
"IREB2",1e-06,1e-06,1e+06,1,2,"rs7359276","rs28498264",3.86859227005189e-05,0.999785756567727,378
"IREB2",1e-06,1e-05,1e+07,1,1,"rs7359276","rs4887067",0.00506831618135949,0.985480427018455,378
"IREB2",1e-06,1e-05,1e+07,1,2,"rs7359276","rs28498264",3.8693383523482e-06,0.999978571524953,378
